row_number,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,DistanceFromHome,RelationshipSatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,StockOptionLevel,TrainingTimesLastYear,JobLevel,Attrition,YearsAtCompany
136,Male,36,Divorced,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4941,2819,216,84,20,6,Very High,Medium,High,Medium,Better,Outstanding,6,7,2,0,1,No,2,0,2,No,3
137,Male,51,Single,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,10650,25150,1150,53,15,8,Very High,Low,Low,Very High,Better,Excellent,2,18,2,0,3,No,0,2,3,Yes,4
138,Female,39,Married,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,5902,14590,1329,47,14,4,High,Very High,Medium,High,Best,Excellent,4,17,11,5,9,No,1,1,2,No,15
139,Male,25,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,8639,24835,959,41,18,28,Very High,Low,Medium,High,Better,Excellent,2,6,2,2,2,No,0,3,2,No,2
140,Male,30,Married,Bachelor,Human Resources,Human Resources,Human Resources,Travel_Rarely,6347,13982,1240,48,19,9,Very High,High,High,Very High,Bad,Excellent,0,12,9,4,7,Yes,0,2,2,No,11
141,Female,32,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,4200,10224,1033,41,22,9,Low,Low,High,Low,Best,Outstanding,7,10,4,0,4,No,0,2,1,Yes,5
142,Male,45,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,3452,9752,1316,83,13,29,Medium,High,High,Very High,Good,Excellent,5,9,5,0,3,No,0,2,1,No,6
143,Female,38,Single,Doctor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,4317,2302,364,32,20,3,Medium,Very High,High,High,Better,Outstanding,3,19,2,2,2,Yes,0,2,2,No,3
144,Female,30,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2632,23910,438,75,14,18,High,Low,High,High,Good,Excellent,1,5,4,0,4,No,0,4,1,No,5
145,Male,32,Divorced,College,Medical,Sales,Sales Executive,Travel_Frequently,4668,22812,689,35,17,9,Very High,Very High,Low,Very High,Best,Excellent,0,9,7,0,7,No,3,2,2,No,8
146,Female,30,Divorced,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,3204,10415,201,84,14,5,Very High,Very High,High,Low,Better,Excellent,5,8,2,2,2,No,1,3,1,No,3
147,Male,30,Single,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2720,11162,1427,35,13,2,Very High,Medium,Medium,Very High,Better,Excellent,0,6,3,1,2,No,0,3,1,No,5
148,Male,41,Divorced,Bachelor,Life Sciences,Research & Development,Manager,Travel_Frequently,17181,12888,857,91,13,10,Medium,Very High,Medium,Low,Good,Excellent,4,21,6,7,7,No,1,2,4,No,7
149,Male,41,Married,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2238,6961,933,94,21,9,Very High,High,High,Low,Better,Outstanding,2,7,0,1,4,No,1,2,1,No,5
150,Female,19,Single,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,1483,16102,1181,79,14,3,Very High,Medium,High,Medium,Better,Excellent,1,1,0,0,0,No,0,3,1,No,1
151,Female,40,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Travel_Frequently,5605,8504,1395,54,11,26,Low,Medium,High,Medium,Better,Excellent,1,20,7,2,13,No,1,2,2,No,20
152,Male,35,Married,Doctor,Marketing,Sales,Sales Executive,Travel_Rarely,7295,11439,662,94,13,1,Low,High,High,Medium,Better,Excellent,1,10,8,0,6,No,2,3,3,No,10
153,Male,53,Married,College,Marketing,Sales,Sales Representative,Travel_Rarely,2306,16047,1436,34,20,6,Very High,Medium,High,High,Bad,Outstanding,2,13,7,4,5,Yes,1,3,2,No,7
154,Male,45,Divorced,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2348,10901,194,60,18,9,High,Medium,High,Medium,Bad,Excellent,8,20,9,0,15,No,1,2,2,No,17
155,Female,32,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Frequently,8998,15589,967,43,14,8,Very High,Medium,High,Very High,Better,Excellent,1,9,8,3,7,No,0,2,3,No,9
156,Male,29,Married,Below College,Technical Degree,Research & Development,Manufacturing Director,Non-Travel,4319,26283,1496,41,13,1,Low,Very High,High,High,Better,Excellent,1,10,7,0,9,No,1,1,2,No,10
157,Male,51,Married,Master,Medical,Research & Development,Manufacturing Director,Travel_Rarely,6132,13983,1169,34,17,7,High,Medium,Medium,High,Better,Excellent,2,10,0,0,0,No,0,2,2,No,1
158,Female,58,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,3346,11873,1145,75,20,9,Medium,Medium,Medium,Medium,Good,Outstanding,4,9,0,0,0,Yes,1,3,1,No,1
159,Male,40,Married,Master,Marketing,Sales,Sales Executive,Travel_Rarely,10855,8552,630,67,11,4,Low,High,Medium,Very High,Good,Excellent,7,15,11,2,11,No,1,2,3,No,12
160,Female,34,Married,Master,Marketing,Sales,Sales Representative,Travel_Frequently,2231,11314,303,75,18,2,Very High,High,High,High,Better,Excellent,6,6,3,1,2,No,1,3,1,No,4
161,Male,22,Married,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,2323,11992,1256,80,24,19,Low,High,High,Very High,Better,Outstanding,1,2,2,2,2,No,2,6,1,No,2
162,Male,27,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Non-Travel,2024,5970,691,57,18,9,Very High,Very High,High,Medium,Bad,Excellent,6,6,2,2,2,No,1,1,1,No,2
163,Male,28,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2713,6672,440,42,11,21,High,High,High,Very High,Bad,Excellent,1,5,2,0,2,No,1,2,1,No,5
164,Male,57,Divorced,College,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,9439,23402,334,83,16,24,Medium,High,Very High,Very High,Bad,Excellent,3,12,3,1,4,Yes,1,2,3,No,5
165,Male,27,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Non-Travel,2566,25326,1450,79,15,3,Very High,High,Medium,High,Good,Excellent,1,1,1,0,1,Yes,1,2,1,No,1
166,Female,50,Single,Bachelor,Life Sciences,Research & Development,Manager,Travel_Rarely,19926,17053,1452,53,15,11,Medium,High,High,Medium,Better,Excellent,3,21,4,4,4,No,0,5,5,No,5
167,Male,41,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2451,4609,465,56,12,14,Low,Low,High,High,Better,Excellent,4,13,8,1,8,No,1,2,1,No,9
168,Female,30,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,9419,8053,1339,41,12,5,High,Medium,High,Very High,Better,Excellent,2,12,9,7,4,No,1,2,3,No,10
169,Female,38,Single,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,8686,12930,702,59,22,1,High,Low,Medium,Very High,Best,Outstanding,4,12,3,0,7,No,0,2,2,No,8
170,Male,32,Single,Doctor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3038,12430,120,43,20,6,Low,High,High,High,Better,Outstanding,3,8,4,1,4,No,0,2,1,No,5
171,Male,27,Married,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,3058,13364,1157,51,16,17,Very High,High,High,Medium,Good,Excellent,0,6,2,1,1,Yes,1,3,1,No,5
172,Female,19,Single,Below College,Technical Degree,Sales,Sales Representative,Travel_Frequently,2325,20989,602,100,21,1,Low,High,Low,Low,Best,Outstanding,0,1,0,0,0,No,0,5,1,Yes,0
173,Male,36,Single,College,Medical,Research & Development,Laboratory Technician,Travel_Frequently,2088,15062,1480,30,12,3,High,Very High,High,Medium,Good,Excellent,4,13,7,7,2,No,0,3,1,No,8
174,Male,30,Divorced,Bachelor,Medical,Research & Development,Laboratory Technician,Non-Travel,3072,11012,111,66,11,9,High,High,High,Low,Better,Excellent,1,12,9,6,10,No,2,4,2,No,12
175,Female,45,Divorced,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,5006,6319,1268,30,11,4,Low,High,High,Low,Best,Excellent,4,9,4,0,3,Yes,1,3,2,No,5
176,Female,56,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,4257,13939,713,67,18,8,High,High,High,Low,Better,Excellent,4,19,2,2,2,Yes,1,3,1,No,2
177,Male,33,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2500,10515,134,90,14,2,Low,High,High,Very High,Best,Excellent,0,4,1,0,2,No,0,2,1,No,3
178,Male,19,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,1102,9241,303,47,22,2,High,Medium,Medium,Very High,Good,Outstanding,1,1,0,1,0,No,0,3,1,Yes,1
179,Female,46,Divorced,College,Marketing,Sales,Sales Executive,Travel_Rarely,10453,2137,526,92,25,1,High,Medium,High,Low,Better,Outstanding,1,24,13,15,7,No,3,2,3,No,24
180,Female,38,Single,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2288,6319,1380,75,12,9,High,High,High,Very High,Better,Excellent,1,2,2,2,1,No,0,3,1,No,2
181,Female,31,Married,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,3929,6984,140,95,23,12,High,High,High,Very High,Better,Outstanding,8,7,2,0,2,Yes,1,0,1,No,4
182,Female,34,Single,College,Medical,Research & Development,Research Scientist,Travel_Rarely,2311,5711,629,95,15,27,Very High,Very High,High,Medium,Better,Excellent,2,9,2,1,2,No,0,3,1,No,3
183,Female,41,Single,College,Marketing,Sales,Sales Representative,Travel_Rarely,3140,21728,1356,70,22,20,Very High,Medium,High,Medium,Good,Outstanding,1,4,3,0,2,Yes,0,5,1,Yes,4
184,Male,50,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3690,3425,328,86,15,1,Very High,High,Medium,High,Good,Excellent,2,5,2,0,2,No,1,2,1,No,3
185,Female,53,Divorced,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4450,26250,1084,57,11,13,High,Very High,Very High,Low,Better,Excellent,1,5,2,1,3,No,2,3,2,No,4
186,Female,33,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2756,4673,931,72,13,14,Very High,Very High,High,Medium,Better,Excellent,1,8,7,1,6,No,1,5,1,No,8
187,Female,40,Married,Below College,Medical,Research & Development,Manager,Travel_Rarely,19033,6499,989,46,14,4,Medium,Very High,High,High,Better,Excellent,1,21,8,9,9,No,1,2,5,No,20
188,Male,55,Single,Master,Medical,Research & Development,Research Director,Travel_Rarely,18722,13339,692,61,11,14,Very High,High,Very High,Medium,Better,Excellent,8,36,15,2,15,No,0,3,5,No,24
189,Male,34,Married,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,9547,14074,1069,45,17,2,High,Very High,Medium,High,Good,Excellent,1,10,9,1,9,No,0,2,2,No,10
190,Female,51,Single,Bachelor,Medical,Research & Development,Healthcare Representative,Travel_Rarely,13734,7192,313,98,18,3,High,Very High,High,Medium,Better,Excellent,3,21,7,1,0,No,0,6,4,No,7
191,Male,52,Married,Master,Life Sciences,Research & Development,Manager,Travel_Rarely,19999,5678,699,65,14,1,Low,High,Medium,High,Better,Excellent,0,34,18,11,9,No,1,5,5,No,33
192,Female,27,Single,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2279,11781,894,99,16,9,Very High,Very High,High,Medium,Good,Excellent,1,7,7,0,3,No,0,2,1,No,7
193,Male,35,Married,College,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,5916,15497,556,50,13,23,Low,Medium,Medium,High,Better,Excellent,3,8,0,0,1,Yes,0,1,2,Yes,1
194,Male,43,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Non-Travel,2089,5228,1344,37,14,7,Very High,Very High,Very High,Very High,Best,Excellent,4,7,4,2,2,No,3,3,1,No,5
195,Male,45,Married,College,Medical,Research & Development,Manager,Non-Travel,16792,20462,1195,65,23,2,Very High,Low,Medium,Very High,Better,Outstanding,9,22,8,11,8,No,1,1,4,No,20
196,Male,37,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3564,22977,290,65,12,21,Low,Medium,Very High,Low,Good,Excellent,1,8,7,1,7,Yes,1,3,1,No,8
197,Female,35,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Frequently,4425,15986,138,37,11,2,Very High,Medium,High,Medium,Better,Excellent,5,10,2,1,2,No,0,5,2,No,6
198,Female,42,Divorced,College,Medical,Research & Development,Manufacturing Director,Non-Travel,5265,16439,926,36,16,21,Medium,High,High,High,Better,Excellent,2,11,3,0,2,No,1,5,2,No,5
199,Male,38,Married,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,6553,7259,1261,88,14,2,Medium,Very High,High,High,Better,Excellent,9,14,0,0,0,No,0,3,2,No,1
200,Male,38,Married,Bachelor,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,6261,4185,1084,54,18,29,Low,Very High,High,Very High,Bad,Excellent,3,9,7,1,7,No,1,3,2,No,7
201,Male,27,Married,Below College,Technical Degree,Research & Development,Manufacturing Director,Travel_Frequently,4298,9679,472,60,19,1,High,High,Medium,Low,Better,Excellent,5,6,2,2,0,No,1,1,2,No,2
202,Male,49,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,Non-Travel,6804,23793,1002,92,15,18,Low,Very High,High,Very High,Better,Excellent,1,7,7,1,7,Yes,2,0,2,No,7
203,Male,34,Divorced,Master,Medical,Research & Development,Research Scientist,Travel_Frequently,3815,5972,878,43,17,10,Very High,Very High,High,High,Best,Excellent,1,5,3,2,0,Yes,1,4,1,No,5
204,Male,40,Married,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2741,16523,905,99,15,19,High,High,High,Very High,Best,Excellent,8,15,2,3,7,Yes,1,2,2,No,7
205,Male,38,Married,Below College,Medical,Research & Development,Healthcare Representative,Travel_Rarely,6673,11354,1180,70,19,29,Medium,Medium,High,Low,Better,Excellent,7,17,0,0,0,Yes,0,2,2,Yes,1
206,Female,29,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,7639,24525,121,35,22,27,Very High,Medium,High,Very High,Good,Outstanding,1,10,4,1,9,No,3,3,3,Yes,10
207,Male,22,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2328,12392,1136,60,16,5,Low,Very High,Very High,Medium,Good,Excellent,1,4,2,2,2,Yes,1,2,1,No,4
208,Female,36,Single,Below College,Medical,Research & Development,Laboratory Technician,Travel_Frequently,2153,7703,635,73,13,18,Low,Medium,High,Very High,Better,Excellent,1,8,1,1,7,No,0,2,1,No,8
209,Male,40,Married,Doctor,Life Sciences,Research & Development,Healthcare Representative,Non-Travel,4876,14242,1151,63,14,9,Very High,Very High,Medium,Very High,Bad,Excellent,9,5,2,0,2,No,1,5,2,No,3
210,Male,46,Divorced,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,9396,12368,644,97,16,1,High,Very High,High,Low,Better,Excellent,7,17,2,0,3,No,1,3,3,No,4
211,Male,32,Married,Master,Medical,Sales,Sales Executive,Travel_Rarely,10400,25812,1045,32,11,4,High,Very High,Low,Very High,Good,Excellent,1,14,8,9,8,No,0,2,3,Yes,14
212,Male,30,Single,Below College,Life Sciences,Research & Development,Manufacturing Director,Non-Travel,8474,20925,829,88,22,1,High,High,Medium,High,Better,Outstanding,1,12,8,5,8,No,0,2,3,No,11
213,Female,27,Single,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Frequently,9981,12916,1242,90,14,20,Very High,Very High,High,High,Better,Excellent,1,7,7,0,7,No,0,2,2,No,7
214,Male,51,Married,Master,Life Sciences,Research & Development,Research Director,Travel_Rarely,12490,15736,1469,81,16,8,Very High,Medium,Medium,Medium,Bad,Excellent,5,16,9,4,7,No,2,5,3,No,10
215,Female,30,Single,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,2657,8556,1005,88,11,3,High,Very High,High,Low,Better,Excellent,5,8,2,0,4,Yes,0,5,1,Yes,5
216,Female,41,Single,Bachelor,Life Sciences,Sales,Manager,Travel_Rarely,13591,14674,896,75,18,6,High,Very High,High,Very High,Better,Excellent,3,16,0,0,0,Yes,0,3,3,No,1
217,Female,30,Single,Master,Marketing,Sales,Sales Executive,Travel_Frequently,6696,22967,334,52,15,26,High,High,Medium,Low,Good,Excellent,5,9,3,0,1,No,0,5,2,Yes,6
218,Male,29,Single,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,2058,19757,992,85,14,1,Very High,High,High,High,Good,Excellent,0,7,2,1,5,No,0,1,1,Yes,6
219,Female,45,Single,Bachelor,Medical,Sales,Sales Executive,Non-Travel,8865,16840,1052,57,12,6,Very High,Very High,Medium,Very High,Better,Excellent,6,23,7,12,8,No,0,2,3,No,19
220,Female,54,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,5940,17011,1147,52,14,3,Very High,Very High,High,Low,Better,Excellent,2,16,2,0,5,No,1,4,2,No,6
221,Male,36,Single,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,5914,9945,1396,62,16,5,Very High,Very High,High,Medium,Best,Excellent,8,16,11,3,7,No,0,3,2,No,13
222,Female,33,Married,Master,Medical,Research & Development,Research Scientist,Travel_Rarely,2622,13248,147,47,21,4,Very High,High,Medium,Medium,Better,Outstanding,6,7,2,1,1,No,0,3,1,No,3
223,Male,37,Divorced,Bachelor,Other,Research & Development,Research Director,Travel_Frequently,12185,10056,663,47,14,11,High,Medium,High,Very High,Better,Excellent,1,10,8,0,7,Yes,3,1,3,No,10
224,Male,38,Divorced,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,10609,9647,119,76,12,3,High,Low,High,High,Good,Excellent,0,17,10,5,13,No,2,6,3,No,16
225,Male,31,Married,Master,Medical,Research & Development,Manufacturing Director,Non-Travel,4345,4381,979,90,12,1,Very High,High,Low,High,Better,Excellent,0,6,4,1,4,No,1,2,2,No,5
226,Male,59,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2177,8456,142,70,17,3,Low,High,Medium,Very High,Better,Excellent,3,7,0,0,0,No,1,6,1,No,1
227,Male,37,Divorced,Master,Marketing,Sales,Sales Representative,Travel_Frequently,2793,2539,319,41,17,4,High,Low,High,Very High,Better,Excellent,4,13,8,5,8,No,1,2,1,No,9
228,Female,29,Married,Below College,Medical,Sales,Sales Executive,Travel_Frequently,7918,6599,1413,42,14,1,Very High,Medium,High,Very High,Better,Excellent,1,11,10,4,1,No,1,5,3,No,11
229,Female,35,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Frequently,8789,9096,944,92,14,1,Low,High,High,High,Best,Excellent,1,10,7,0,8,No,0,3,3,No,10
230,Male,29,Single,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,2389,14961,896,86,13,18,High,High,Medium,Very High,Good,Excellent,1,4,3,0,1,Yes,0,3,1,Yes,4
231,Female,52,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3212,3300,1323,89,15,2,Medium,High,Medium,Very High,Good,Excellent,7,6,2,2,2,No,0,3,1,No,2
232,Male,42,Married,College,Technical Degree,Research & Development,Manager,Travel_Rarely,19232,4933,532,58,11,4,Very High,High,High,Very High,Better,Excellent,1,22,17,11,15,No,0,3,5,No,22
233,Male,59,Married,College,Medical,Human Resources,Human Resources,Travel_Rarely,2267,25657,818,52,17,6,Very High,Medium,High,High,Good,Excellent,8,7,2,2,2,No,0,2,1,No,2
234,Female,50,Divorced,Master,Medical,Sales,Manager,Travel_Rarely,19517,24118,854,68,11,1,High,Very High,High,Very High,Good,Excellent,3,32,0,0,6,No,1,3,5,No,7
235,Male,33,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2436,22149,813,58,13,14,High,High,High,Very High,Bad,Excellent,5,8,4,0,4,Yes,1,2,1,Yes,5
236,Female,43,Married,Bachelor,Marketing,Sales,Manager,Travel_Rarely,16064,7744,1034,80,22,16,High,Very High,High,Very High,Better,Outstanding,5,22,13,1,9,Yes,1,3,4,No,17
237,Female,33,Married,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2707,21509,465,39,20,2,Low,Low,High,Low,Best,Outstanding,7,13,7,1,7,No,0,3,1,Yes,9
238,Male,52,Single,Master,Life Sciences,Sales,Manager,Non-Travel,19068,21030,771,79,18,2,Very High,Low,Medium,High,Best,Excellent,1,33,7,15,12,Yes,0,2,5,No,33
239,Female,32,Married,College,Life Sciences,Sales,Sales Representative,Travel_Rarely,3931,20990,1401,56,11,4,Low,High,High,Medium,Better,Excellent,2,6,3,1,2,No,1,5,1,No,4
240,Male,32,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3730,9571,515,62,14,1,Very High,Very High,Medium,High,Bad,Excellent,0,4,2,1,2,Yes,0,2,1,Yes,3
241,Female,39,Divorced,Master,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2232,15417,1431,96,14,1,High,High,High,High,Better,Excellent,7,7,2,1,2,No,3,1,1,No,3
242,Male,32,Married,Master,Marketing,Sales,Sales Executive,Non-Travel,4465,12069,976,100,18,26,Low,High,High,Very High,Better,Excellent,0,4,2,2,2,No,0,2,2,No,3
243,Male,41,Divorced,College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3072,19877,1411,36,16,19,Low,High,High,Low,Good,Excellent,2,17,0,0,0,No,2,2,2,No,1
